Metric,Value
count,369.0
missing,20.0
total_pnl,-1.6348000000001446
avg_pnl,-0.004430352303523427
min_pnl,-11.760000000000005
max_pnl,3.3800000000000003
win_rate,0.7777777777777778
avg_bid_ask_spread_rel,0.18295929617791046
total_roi,-0.2368245690279798
annualized_roi_simple,-0.15813560116539238
annualized_roi_cagr,-0.1651193125498016
avg_return,-0.000641801000075825
volatility,0.23413285605152168
sharpe,-0.043514930779801
sortino,-0.048013757866031063
duration_days,547.0
duration_years,1.4976043805612593
