EntryDate,PnL,Result
2024-01-31,0.69,Win
2024-02-01,-3.0899999999999817,Loss
2024-02-02,-0.34999999999998177,Loss
2024-02-05,0.37000000000000005,Win
2024-02-06,-0.470000000000025,Loss
2024-02-07,0.36000000000000004,Win
2024-02-08,0.38000000000000006,Win
2024-02-09,0.24000000000000002,Win
2024-02-12,-2.329999999999998,Loss
2024-02-13,-0.3500000000000159,Loss
2024-02-14,-0.41999999999998183,Loss
2024-02-15,0.52,Win
2024-02-16,0.26,Win
2024-02-20,0.73,Win
2024-02-21,-5.17,Loss
2024-02-22,0.43000000000000005,Win
2024-02-23,0.26,Win
2024-02-26,0.4699999999999999,Win
2024-02-27,0.31999999999999995,Win
2024-02-28,0.4800000000000001,Win
2024-02-29,0.4400000000000001,Win
2024-03-01,-0.71,Loss
2024-03-04,-1.270000000000025,Loss
2024-03-05,0.53,Win
2024-03-06,0.35,Win
2024-03-07,0.71,Win
2024-03-08,-2.4399999999999906,Loss
2024-03-11,-0.03999999999994537,Loss
2024-03-12,0.6100000000000001,Win
2024-03-13,0.48,Win
2024-03-14,0.6500000000000001,Win
2024-03-15,0.24000000000000005,Win
2024-03-18,0.5000000000000001,Win
2024-03-19,-2.2900000000000182,Loss
2024-03-20,-0.38000000000002737,Loss
2024-03-21,0.4100000000000001,Win
2024-03-22,0.23,Win
2024-03-25,0.42,Win
2024-03-26,0.29000000000000004,Win
2024-03-27,0.47000000000000003,Win
2024-03-28,0.19,Win
2024-04-01,-1.8299999999999956,Loss
2024-04-02,0.4799999999999999,Win
2024-04-03,-1.1299999999999955,Loss
2024-04-04,0.56,Win
2024-04-05,0.49000000000000005,Win
2024-04-08,0.6399999999999999,Win
2024-04-09,0.8099999999999999,Win
2024-04-10,0.75,Win
2024-04-11,0.6699999999999999,Win
2024-04-12,0.35000000000000914,Win
2024-04-15,-5.069999999999975,Loss
2024-04-16,0.9500000000000001,Win
2024-04-17,0.6900000000000001,Win
2024-04-18,0.8400000000000001,Win
2024-04-19,0.4000000000000159,Win
2024-04-22,-1.6500000000000161,Loss
2024-04-23,0.6200000000000001,Win
2024-04-24,0.8099999999999999,Win
2024-04-25,-2.5699999999999723,Loss
2024-04-26,0.43,Win
2024-04-29,-2.290000000000014,Loss
2024-04-30,-1.949999999999998,Loss
2024-05-01,0.8500000000000001,Win
2024-05-02,-1.6099999999999908,Loss
2024-05-03,0.16000000000000003,Win
2024-05-06,0.38999999999999996,Win
2024-05-07,0.4100000000000001,Win
2024-05-08,0.509999999999959,Win
2024-05-09,0.5499999999999999,Win
2024-05-10,0.15999999999999998,Win
2024-05-13,0.48000000000000004,Win
2024-05-14,-1.4700000000000504,Loss
2024-05-15,0.54,Win
2024-05-16,0.33,Win
2024-05-17,0.20000000000000004,Win
2024-05-20,0.39,Win
2024-05-21,0.4600000000000001,Win
2024-05-22,0.5399999999999545,Win
2024-05-23,0.55,Win
2024-05-24,0.14,Win
2024-05-28,0.37999999999999995,Win
2024-05-29,0.48000000000000004,Win
2024-05-30,0.5399999999999999,Win
2024-05-31,-1.2000000000000093,Loss
2024-06-03,0.29,Win
2024-06-04,-3.0000000000000364,Loss
2024-06-05,0.01999999999994999,Win
2024-06-06,0.68,Win
2024-06-07,0.33999999999999997,Win
2024-06-10,0.36,Win
2024-06-11,-1.4300000000000002,Loss
2024-06-12,0.61,Win
2024-06-13,0.6400000000000001,Win
2024-06-14,0.25,Win
2024-06-17,-1.5699999999999998,Loss
2024-06-18,0.39,Win
2024-06-20,0.58,Win
2024-06-21,0.33999999999999997,Win
2024-06-24,0.5399999999999999,Win
2024-06-25,0.43,Win
2024-06-26,0.37,Win
2024-06-27,0.44,Win
2024-06-28,-0.37000000000001365,Loss
2024-07-01,0.49999999999999994,Win
2024-07-02,-1.6099999999999866,Loss
2024-07-03,-0.01999999999999999,Loss
2024-07-05,0.20000000000000004,Win
2024-07-08,0.35000000000000003,Win
2024-07-09,-0.7999999999999683,Loss
2024-07-10,0.6400000000000001,Win
2024-07-11,0.48999999999999994,Win
2024-07-12,0.22,Win
2024-07-15,0.72,Win
2024-07-16,-1.8300000000000456,Loss
2024-07-17,-0.5500000000000136,Loss
2024-07-18,-3.2298999999999976,Loss
2024-07-19,0.47999999999999987,Win
2024-07-22,0.6200000000000001,Win
2024-07-23,-4.240000000000001,Loss
2024-07-24,-2.15000000000005,Loss
2024-07-25,0.9900000000000001,Win
2024-07-26,0.43,Win
2024-07-29,0.6500000000000318,Win
2024-07-30,0.8200000000000001,Win
2024-07-31,1.0099999999999998,Win
2024-08-01,-5.000000000000001,Loss
2024-08-02,0.8599999999999999,Win
2024-08-05,1.7599999999999998,Win
2024-08-06,1.3699999999999999,Win
2024-08-07,1.11,Win
2024-08-08,1.1800000000000002,Win
2024-08-09,0.72,Win
2024-08-12,-2.8500000000000094,Loss
2024-08-13,1.24,Win
2024-08-14,-2.31,Loss
2024-08-15,0.6900000000000001,Win
2024-08-16,0.4799999999999999,Win
2024-08-19,0.54,Win
2024-08-20,0.58,Win
2024-08-21,0.77,Win
2024-08-22,0.6699999999999999,Win
2024-08-23,0.5,Win
2024-08-26,0.5900000000000001,Win
2024-08-27,0.9400000000000001,Win
2024-08-28,0.92,Win
2024-08-29,0.5999999999999999,Win
2024-08-30,0.33999999999999997,Win
2024-09-03,-0.6800000000000544,Loss
2024-09-04,0.46000000000000013,Win
2024-09-05,-3.2199999999999958,Loss
2024-09-06,-1.4399999999999957,Loss
2024-09-09,0.9400000000000003,Win
2024-09-10,0.7599999999999726,Win
2024-09-11,-3.28,Loss
2024-09-12,-0.9699999999999863,Loss
2024-09-13,0.10000000000000003,Win
2024-09-16,0.8,Win
2024-09-17,0.92,Win
2024-09-18,1.28,Win
2024-09-19,0.7300000000000001,Win
2024-09-20,0.46000000000000013,Win
2024-09-23,0.6499999999999999,Win
2024-09-24,0.41,Win
2024-09-25,0.5399999999999999,Win
2024-09-26,0.41000000000000014,Win
2024-09-27,0.16999999999999998,Win
2024-09-30,0.7199999999999999,Win
2024-10-01,0.7200000000000001,Win
2024-10-02,0.8100000000000002,Win
2024-10-03,0.8299999999999998,Win
2024-10-04,0.55,Win
2024-10-07,0.8099999999999998,Win
2024-10-08,-0.3699999999999591,Loss
2024-10-09,0.5800000000000001,Win
2024-10-10,0.6699999999999999,Win
2024-10-11,0.29,Win
2024-10-14,0.5499999999999999,Win
2024-10-15,0.43000000000000005,Win
2024-10-16,0.69,Win
2024-10-17,0.69,Win
2024-10-18,0.22,Win
2024-10-21,0.45,Win
2024-10-22,0.37000000000000005,Win
2024-10-23,0.5599999999999999,Win
2024-10-24,0.7300000000000001,Win
2024-10-25,-0.7300000000000364,Loss
2024-10-28,0.74,Win
2024-10-29,0.69,Win
2024-10-30,-5.049999999999972,Loss
2024-10-31,0.8999999999999999,Win
2024-11-01,0.42000000000000004,Win
2024-11-04,0.63,Win
2024-11-05,-4.57,Loss
2024-11-06,-1.5598999999999978,Loss
2024-11-07,0.73,Win
2024-11-08,0.19999999999999998,Win
2024-11-11,0.63,Win
2024-11-12,0.6,Win
2024-11-13,0.55,Win
2024-11-14,-4.090000000000055,Loss
2024-11-15,0.3,Win
2024-11-18,-0.009999999999950031,Loss
2024-11-19,0.9399999999999998,Win
2024-11-20,0.8800000000000001,Win
2024-11-21,0.7200000000000001,Win
2024-11-22,0.45,Win
2024-11-25,0.4300000000000001,Win
2024-11-26,0.2699999999999999,Win
2024-11-27,0.22000000000000003,Win
2024-11-29,0.19,Win
2024-12-02,0.37000000000000005,Win
2024-12-03,-0.010000000000004533,Loss
2024-12-04,0.27,Win
2024-12-05,0.5,Win
2024-12-06,0.14999999999999997,Win
2024-12-09,-0.650000000000041,Loss
2024-12-10,0.48000000000000004,Win
2024-12-11,0.43,Win
2024-12-12,0.46000000000000013,Win
2024-12-13,0.26,Win
2024-12-16,0.42000000000000004,Win
2024-12-17,-4.3999999999999995,Loss
2024-12-18,-11.760000000000005,Loss
2024-12-19,0.84,Win
2024-12-20,-4.310000000000027,Loss
2024-12-26,0.51,Win
2024-12-27,0.27,Win
2024-12-30,0.9900000000000001,Win
2024-12-31,0.6300000000000001,Win
2025-01-02,0.9199999999999998,Win
2025-01-03,0.38000000000000006,Win
2025-01-06,-2.4600000000000453,Loss
2025-01-07,0.44999999999999996,Win
2025-01-10,0.32000000000000006,Win
