EntryTime,Expiry,Type,Strike,Direction,PnL
2024-01-31T15:00:00.0,2024-02-01T21:00:00.0,Put,482.0,-1,0.44
2024-01-31T15:00:00.0,2024-02-01T21:00:00.0,Call,494.0,-1,0.42
2024-01-31T15:00:00.0,2024-02-01T21:00:00.0,Put,478.0,1,-0.12
2024-01-31T15:00:00.0,2024-02-01T21:00:00.0,Call,500.0,1,-0.05
2024-02-01T15:00:00.0,2024-02-02T21:00:00.0,Put,479.0,-1,0.46
2024-02-01T15:00:00.0,2024-02-02T21:00:00.0,Call,490.0,-1,-3.3999999999999817
2024-02-01T15:00:00.0,2024-02-02T21:00:00.0,Put,475.0,1,-0.13
2024-02-01T15:00:00.0,2024-02-02T21:00:00.0,Call,496.0,1,-0.04
2024-02-02T15:00:00.0,2024-02-02T21:00:00.0,Put,487.5,-1,0.26
2024-02-02T15:00:00.0,2024-02-02T21:00:00.0,Call,493.0,-1,-0.5199999999999818
2024-02-02T15:00:00.0,2024-02-02T21:00:00.0,Put,482.0,1,-0.030000000000000002
2024-02-02T15:00:00.0,2024-02-02T21:00:00.0,Call,498.0,1,-0.02
2024-02-05T15:00:00.0,2024-02-06T21:00:00.0,Put,489.0,-1,0.28
2024-02-05T15:00:00.0,2024-02-06T21:00:00.0,Call,497.0,-1,0.26
2024-02-05T15:00:00.0,2024-02-06T21:00:00.0,Put,482.0,1,-0.05
2024-02-05T15:00:00.0,2024-02-06T21:00:00.0,Call,501.0,1,-0.06
2024-02-06T15:00:00.0,2024-02-07T21:00:00.0,Put,489.0,-1,0.32
2024-02-06T15:00:00.0,2024-02-07T21:00:00.0,Call,497.0,-1,-0.640000000000025
2024-02-06T15:00:00.0,2024-02-07T21:00:00.0,Put,483.0,1,-0.04
2024-02-06T15:00:00.0,2024-02-07T21:00:00.0,Call,500.0,1,-0.07
2024-02-08T15:00:00.0,2024-02-09T21:00:00.0,Put,494.0,-1,0.29
2024-02-08T15:00:00.0,2024-02-09T21:00:00.0,Call,502.0,-1,0.24
2024-02-08T15:00:00.0,2024-02-09T21:00:00.0,Put,490.0,1,-0.06
2024-02-08T15:00:00.0,2024-02-09T21:00:00.0,Call,510.0,1,-0.02
