entry_date,expiry,settlement_spot,zone,short_put,long_put,short_call,long_call
2024-01-31,2024-02-01T21:00:00.0,489.02,max_profit,482.0,478.0,494.0,500.0
2024-02-01,2024-02-02T21:00:00.0,493.77,between_calls,479.0,475.0,490.0,496.0
2024-02-02,2024-02-02T21:00:00.0,493.77,between_calls,487.5,482.0,493.0,498.0
2024-02-05,2024-02-06T21:00:00.0,493.94,max_profit,489.0,482.0,497.0,501.0
2024-02-06,2024-02-07T21:00:00.0,497.91,between_calls,489.0,483.0,497.0,500.0
2024-02-08,2024-02-09T21:00:00.0,501.04,max_profit,494.0,490.0,502.0,510.0
2024-02-09,2024-02-09T21:00:00.0,501.04,max_profit,497.0,491.0,502.0,508.0
2024-02-12,2024-02-13T21:00:00.0,494.06,between_puts,497.0,490.0,506.0,509.0
2024-02-13,2024-02-14T21:00:00.0,498.92,between_calls,489.0,479.0,498.0,505.0
2024-02-14,2024-02-15T21:00:00.0,502.02,between_calls,493.0,485.0,501.0,504.0
2024-02-15,2024-02-16T21:00:00.0,499.32,max_profit,495.0,489.0,504.0,510.0
2024-02-16,2024-02-16T21:00:00.0,499.32,max_profit,496.0,490.0,503.0,508.0
2024-02-20,2024-02-21T21:00:00.0,497.09,max_profit,491.0,487.0,502.0,508.0
2024-02-21,2024-02-22T21:00:00.0,507.38,above_long_call,490.0,485.0,501.0,507.0
2024-02-22,2024-02-23T21:00:00.0,507.7,max_profit,500.0,494.0,510.0,514.0
2024-02-23,2024-02-23T21:00:00.0,507.7,max_profit,506.0,500.0,512.0,517.0
2024-02-26,2024-02-27T21:00:00.0,506.93,max_profit,504.0,494.0,512.0,515.0
2024-02-27,2024-02-28T21:00:00.0,506.04,max_profit,503.0,497.0,510.0,515.0
2024-02-28,2024-02-29T21:00:00.0,508.39,max_profit,501.0,496.0,510.0,517.0
2024-02-29,2024-03-01T21:00:00.0,512.75,max_profit,504.0,499.0,513.0,519.0
