Metric,Value
count,371.0
missing,10.0
total_pnl,29.475199999999834
avg_pnl,0.07944797843665724
min_pnl,-24.549999999999976
max_pnl,3.9799999999999995
win_rate,0.8005390835579514
avg_bid_ask_spread_rel,0.18145602431218827
total_roi,0.002456266666666653
annualized_roi_simple,0.0016401305301645245
annualized_roi_cagr,0.0016394619742801098
avg_return,6.620664869721439e-6
volatility,0.00018539980953668323
sharpe,0.5668819014310453
sortino,0.613510794643168
duration_days,547.0
duration_years,1.4976043805612593
